district,Date_Time,PM2.5,WS,WD,Temp,RH,BP
คลองเตย,2023-01-01,29.2,0.5,63.0,25.5,55.0,1015.5
คลองเตย,2023-01-02,31.1,0.5,114.4,26.0,56.9,1015.8
คลองเตย,2023-01-03,33.8,0.5,111.4,27.4,57.6,1015.2
คลองเตย,2023-01-04,26.2,0.5,203.0,28.1,53.6,1014.6
คลองเตย,2023-01-05,27.7,0.5,95.2,28.3,54.6,1014.0
คลองเตย,2023-01-06,22.5,0.7,62.9,27.3,56.0,1014.9
คลองเตย,2023-01-07,25.5,0.7,114.9,26.0,51.4,1014.2
คลองเตย,2023-01-08,40.2,0.5,185.6,27.2,50.1,1013.2
คลองเตย,2023-01-09,48.2,0.5,182.5,28.6,52.2,1012.9
คลองเตย,2023-01-10,39.9,0.7,125.1,28.6,61.9,1011.8
คลองเตย,2023-01-11,23.7,0.8,88.4,26.3,75.4,1011.2
คลองเตย,2023-01-12,36.0,0.5,122.0,27.1,76.9,1010.5
คลองเตย,2023-01-13,33.8,0.5,177.0,28.0,78.2,1011.2
คลองเตย,2023-01-14,26.6,0.5,167.7,28.0,78.7,1009.6
คลองเตย,2023-01-15,30.3,0.4,284.9,28.0,68.9,1009.0
คลองเตย,2023-01-16,32.9,0.4,148.0,27.8,71.3,1010.8
คลองเตย,2023-01-17,43.1,0.6,146.3,28.2,66.2,1012.2
คลองเตย,2023-01-18,32.5,0.9,89.1,27.9,57.5,1014.1
คลองเตย,2023-01-19,26.4,0.7,87.0,27.2,53.5,1013.7
คลองเตย,2023-01-20,36.1,0.6,62.7,27.4,53.1,1013.3
คลองเตย,2023-01-21,35.9,0.5,131.9,27.8,48.2,1012.3
คลองเตย,2023-01-22,42.8,0.2,94.0,27.0,50.0,1010.4
คลองเตย,2023-01-23,58.5,0.5,113.7,29.4,44.2,1010.0
คลองเตย,2023-01-24,35.5,1.1,86.5,28.5,49.2,1011.5
คลองเตย,2023-01-25,34.4,0.7,111.1,25.0,50.9,1013.1
คลองเตย,2023-01-26,50.0,0.5,156.3,27.4,48.6,1011.2
คลองเตย,2023-01-27,44.9,0.8,81.2,27.8,49.1,1011.3
คลองเตย,2023-01-28,24.0,0.8,63.0,25.1,52.8,1012.5
คลองเตย,2023-01-29,33.5,0.8,60.5,24.0,49.2,1014.3
คลองเตย,2023-01-30,48.0,0.5,213.5,23.7,45.2,1014.0
คลองเตย,2023-01-31,76.8,0.4,184.7,26.3,46.1,1011.3
คลองเตย,2023-02-01,90.4,0.4,131.5,27.5,48.8,1010.1
คลองเตย,2023-02-02,108.6,0.4,114.5,29.0,59.9,1009.8
คลองเตย,2023-02-03,47.4,0.5,132.7,28.6,73.0,1010.4
คลองเตย,2023-02-04,32.1,0.6,192.6,28.1,79.6,1009.8
คลองเตย,2023-02-05,22.7,0.5,182.1,28.6,72.8,1009.8
คลองเตย,2023-02-06,22.5,0.7,137.1,28.5,76.9,1009.7
คลองเตย,2023-02-07,20.2,0.8,155.0,28.4,76.5,1009.9
คลองเตย,2023-02-08,21.6,0.7,147.5,28.8,75.5,1009.7
คลองเตย,2023-02-09,20.2,0.8,171.7,28.7,77.1,1010.0
คลองเตย,2023-02-10,17.8,0.8,167.2,28.9,73.5,1010.2
คลองเตย,2023-02-11,17.9,0.8,93.5,29.1,71.0,1010.4
คลองเตย,2023-02-12,19.6,0.8,95.2,29.0,74.7,1010.7
คลองเตย,2023-02-13,22.4,0.8,138.8,28.8,77.8,1010.5
คลองเตย,2023-02-14,25.2,0.7,141.7,29.3,76.6,1010.0
คลองเตย,2023-02-15,8.5,0.3,48.5,10.0,33.0,378.8
คลองเตย,2023-02-16,10.4,0.2,20.0,11.9,25.5,422.1
คลองเตย,2023-02-17,39.5,0.6,143.3,27.5,60.7,1013.5
คลองเตย,2023-02-18,52.4,0.5,197.1,28.4,54.4,1012.4
คลองเตย,2023-02-19,62.1,0.4,225.9,29.8,52.8,1011.2
คลองเตย,2023-02-20,46.5,0.8,142.7,29.2,54.9,1011.7
คลองเตย,2023-02-21,42.4,0.7,107.0,29.4,52.3,1012.8
คลองเตย,2023-02-22,51.1,0.7,102.8,29.5,51.1,1012.7
คลองเตย,2023-02-23,53.2,0.5,123.2,29.8,49.3,1011.8
คลองเตย,2023-02-24,56.0,0.5,93.8,29.3,44.5,969.2
คลองเตย,2023-02-25,46.2,1.0,91.6,28.7,47.4,1014.8
คลองเตย,2023-02-26,34.4,0.8,83.3,26.8,49.2,1017.8
คลองเตย,2023-02-27,45.8,0.7,117.0,26.6,50.5,1017.2
คลองเตย,2023-02-28,63.4,0.5,134.1,28.3,47.8,1015.5
คลองเตย,2023-03-01,58.7,0.5,190.1,30.3,46.5,1014.3
คลองเตย,2023-03-02,57.4,0.6,78.7,31.1,45.6,1014.0
คลองเตย,2023-03-03,44.8,0.7,99.4,29.7,43.8,1015.5
คลองเตย,2023-03-04,58.9,0.8,71.7,29.0,47.8,1016.3
คลองเตย,2023-03-05,60.1,0.7,77.7,28.6,52.6,1015.8
คลองเตย,2023-03-06,64.3,0.6,167.8,29.0,55.3,1014.5
คลองเตย,2023-03-07,86.0,0.5,184.1,29.8,54.6,1013.7
คลองเตย,2023-03-08,81.6,0.6,230.8,29.7,67.4,1013.3
คลองเตย,2023-03-09,61.9,0.6,193.7,29.2,73.9,1012.1
คลองเตย,2023-03-10,61.1,0.6,185.3,29.5,73.3,1011.7
คลองเตย,2023-03-11,49.2,0.6,107.6,28.8,78.0,1011.6
คลองเตย,2023-03-12,45.0,0.6,105.7,29.1,76.9,1011.6
คลองเตย,2023-03-13,52.3,0.7,90.2,28.5,66.9,1012.4
คลองเตย,2023-03-14,54.9,0.6,80.1,29.2,56.2,1010.9
คลองเตย,2023-03-15,56.6,0.5,130.0,29.1,68.9,1010.7
คลองเตย,2023-03-16,37.8,0.7,111.5,29.1,73.1,1011.8
คลองเตย,2023-03-17,33.4,0.7,91.1,29.3,72.2,1011.6
คลองเตย,2023-03-18,30.3,0.6,174.2,29.3,73.9,1010.4
คลองเตย,2023-03-19,30.9,0.8,127.3,29.4,74.5,1009.7
คลองเตย,2023-03-20,30.4,0.7,106.5,29.8,74.7,1009.1
คลองเตย,2023-03-21,31.1,0.9,103.0,29.8,75.1,1008.9
คลองเตย,2023-03-22,n/a,0.8,84.0,29.9,76.5,1007.5
คลองเตย,2023-03-23,n/a,0.9,97.9,30.2,75.1,1007.6
คลองเตย,2023-03-24,28.5,0.8,87.6,30.3,76.8,1008.0
คลองเตย,2023-03-25,29.4,0.8,91.5,30.2,76.8,1008.6
คลองเตย,2023-03-26,24.8,0.9,113.9,30.3,75.5,1008.2
คลองเตย,2023-03-27,25.6,0.8,101.0,30.4,74.9,1008.3
คลองเตย,2023-03-28,22.1,1.0,88.2,30.2,73.2,1009.8
คลองเตย,2023-03-29,18.2,0.9,156.4,30.7,67.2,1010.6
คลองเตย,2023-03-30,24.2,0.8,102.7,30.2,74.4,1009.0
คลองเตย,2023-03-31,24.8,0.9,131.6,30.6,73.9,1008.6
คลองเตย,2023-04-01,28.5,0.9,116.6,30.6,73.4,1008.5
คลองเตย,2023-04-02,29.3,0.9,104.0,30.4,74.1,1008.3
คลองเตย,2023-04-03,39.5,0.7,114.2,31.5,63.5,1007.5
คลองเตย,2023-04-04,50.8,0.8,112.9,31.4,66.5,1007.1
คลองเตย,2023-04-05,55.3,0.6,212.3,31.5,61.0,1007.3
คลองเตย,2023-04-06,50.3,0.6,144.3,31.7,68.8,1008.0
คลองเตย,2023-04-07,37.3,0.7,151.7,29.9,74.3,1009.8
คลองเตย,2023-04-08,27.7,0.7,125.5,30.9,72.1,1011.6
คลองเตย,2023-04-09,27.3,0.8,110.4,31.0,72.5,1011.7
คลองเตย,2023-04-10,23.4,0.9,115.7,31.1,72.5,1010.1
คลองเตย,2023-04-11,39.2,0.8,114.0,31.6,72.5,1009.0
คลองเตย,2023-04-12,43.5,0.9,109.3,31.3,76.7,1007.9
คลองเตย,2023-04-13,52.1,0.7,107.9,31.9,71.2,1007.7
คลองเตย,2023-04-14,56.9,0.7,96.1,31.7,71.1,1007.5
คลองเตย,2023-04-15,69.3,0.7,107.3,31.8,73.1,1006.8
คลองเตย,2023-04-16,66.2,0.8,114.6,30.2,78.3,1007.4
คลองเตย,2023-04-17,59.3,0.6,133.9,31.5,69.2,1008.2
คลองเตย,2023-04-18,55.3,0.8,100.7,31.5,71.8,1008.6
คลองเตย,2023-04-19,58.6,0.7,140.1,32.0,72.0,1006.0
คลองเตย,2023-04-20,55.2,0.7,182.0,32.6,63.1,1004.3
คลองเตย,2023-04-21,64.1,0.7,181.3,32.6,62.4,1004.6
คลองเตย,2023-04-22,62.6,0.7,144.2,32.8,65.5,1005.3
คลองเตย,2023-04-23,45.4,0.9,93.0,32.2,69.4,1007.5
คลองเตย,2023-04-24,35.1,0.6,94.0,31.5,72.0,1009.5
คลองเตย,2023-04-25,32.6,0.6,140.0,31.2,71.6,1007.9
คลองเตย,2023-04-26,28.0,0.5,168.9,27.0,83.9,1009.1
คลองเตย,2023-04-27,50.4,0.5,81.8,30.6,72.2,1009.0
คลองเตย,2023-04-28,33.5,0.6,77.2,31.8,70.2,1008.8
คลองเตย,2023-04-29,31.4,0.7,84.7,32.1,70.5,1007.7
คลองเตย,2023-04-30,25.4,0.6,120.3,28.2,80.3,1008.2
คลองเตย,2023-05-01,34.6,0.6,88.2,30.7,69.6,1008.6
คลองเตย,2023-05-02,30.3,0.6,139.7,31.4,73.7,1009.0
คลองเตย,2023-05-03,23.1,0.7,132.9,31.9,68.3,1009.8
คลองเตย,2023-05-04,19.0,0.8,105.4,31.8,71.4,1008.0
คลองเตย,2023-05-05,27.5,0.6,128.5,32.9,68.4,1005.3
คลองเตย,2023-05-06,28.3,0.6,126.7,33.7,64.6,1003.7
คลองเตย,2023-05-07,27.5,0.7,147.1,34.1,61.7,1003.7
คลองเตย,2023-05-08,25.9,0.8,106.7,32.8,68.0,1004.8
คลองเตย,2023-05-09,27.3,0.7,82.8,31.8,68.0,1007.0
คลองเตย,2023-05-10,23.2,0.5,114.0,29.0,74.7,1008.6
คลองเตย,2023-05-11,29.4,0.3,131.0,29.9,78.0,1009.1
คลองเตย,2023-05-12,19.1,0.7,120.0,31.7,67.4,1009.0
คลองเตย,2023-05-13,21.7,0.7,127.5,30.5,71.4,1009.2
คลองเตย,2023-05-14,19.4,0.8,153.9,31.5,66.6,1008.9
คลองเตย,2023-05-15,33.4,0.6,144.0,31.6,69.0,1009.5
คลองเตย,2023-05-16,39.9,0.6,196.6,31.7,63.2,1010.1
คลองเตย,2023-05-17,32.9,0.6,205.4,32.4,60.8,1010.1
คลองเตย,2023-05-18,29.1,0.8,264.9,33.1,59.8,1009.2
คลองเตย,2023-05-19,31.3,0.9,289.0,33.7,54.5,1007.0
คลองเตย,2023-05-20,69.8,0.8,268.4,33.1,55.4,1006.7
คลองเตย,2023-05-21,30.1,0.7,182.7,33.3,58.5,1007.7
คลองเตย,2023-05-22,26.3,0.8,179.5,32.9,63.4,1008.4
คลองเตย,2023-05-23,27.3,0.7,234.9,32.2,61.1,1008.5
คลองเตย,2023-05-24,26.7,0.6,229.8,32.0,63.6,1008.0
คลองเตย,2023-05-25,27.7,0.6,180.0,32.0,63.2,1008.4
คลองเตย,2023-05-26,30.9,0.7,262.8,33.1,58.4,1008.0
คลองเตย,2023-05-27,30.1,0.7,246.1,32.7,61.0,1006.3
คลองเตย,2023-05-28,25.1,0.6,231.0,30.5,68.0,1005.8
คลองเตย,2023-05-29,22.1,0.5,286.8,28.7,78.5,1006.7
คลองเตย,2023-05-30,25.5,0.5,201.8,29.9,76.4,1006.6
คลองเตย,2023-05-31,22.7,0.6,172.3,31.4,70.9,1005.9
คลองเตย,2023-06-01,24.8,0.7,219.8,32.3,63.7,1005.5
คลองเตย,2023-06-02,26.7,0.7,211.4,32.4,64.1,1006.2
คลองเตย,2023-06-03,21.7,0.7,210.4,32.3,63.7,1007.2
คลองเตย,2023-06-04,12.5,0.7,230.0,31.9,67.2,1007.0
คลองเตย,2023-06-05,14.2,0.6,255.6,31.6,64.7,1006.0
คลองเตย,2023-06-06,20.0,0.6,178.2,30.4,71.7,1005.5
คลองเตย,2023-06-07,18.8,0.9,69.3,30.6,72.2,1006.4
คลองเตย,2023-06-08,17.9,0.7,108.6,28.9,79.2,1007.3
คลองเตย,2023-06-09,14.6,0.6,64.9,29.9,72.5,1006.7
คลองเตย,2023-06-10,15.5,0.6,103.8,30.3,73.2,1005.6
คลองเตย,2023-06-11,13.4,0.7,126.2,30.4,70.5,1005.1
คลองเตย,2023-06-12,14.9,0.8,60.6,29.7,72.1,1005.8
คลองเตย,2023-06-13,15.7,0.7,159.1,29.3,77.4,1006.8
คลองเตย,2023-06-14,13.7,0.6,147.0,29.6,76.3,1008.4
คลองเตย,2023-06-15,14.4,0.6,150.1,30.2,74.6,1007.9
คลองเตย,2023-06-16,13.7,0.7,138.1,30.9,71.3,1007.0
คลองเตย,2023-06-17,12.9,0.6,168.2,30.5,74.0,1007.6
คลองเตย,2023-06-18,15.5,0.5,218.9,29.3,78.5,1008.4
คลองเตย,2023-06-19,17.6,0.5,139.6,30.3,70.5,1007.9
คลองเตย,2023-06-20,16.8,0.6,188.2,31.1,70.6,1007.9
คลองเตย,2023-06-21,19.9,0.5,170.6,31.5,69.1,1008.5
คลองเตย,2023-06-22,22.0,0.6,148.0,29.4,79.2,1008.7
คลองเตย,2023-06-23,19.0,0.7,219.7,32.5,63.5,1007.0
คลองเตย,2023-06-24,12.3,0.8,307.6,31.9,59.6,1006.7
คลองเตย,2023-06-25,12.6,0.8,274.8,31.9,57.6,1006.8
คลองเตย,2023-06-26,12.7,0.8,299.2,31.6,57.9,1007.3
คลองเตย,2023-06-27,13.5,0.8,239.5,31.8,60.0,1007.3
คลองเตย,2023-06-28,17.5,0.6,244.8,31.4,67.0,1007.9
คลองเตย,2023-06-29,19.4,0.6,195.9,31.7,67.0,1007.0
คลองเตย,2023-06-30,16.3,0.5,240.4,30.9,72.3,1006.2
คลองเตย,2023-07-01,15.5,0.8,111.2,31.1,73.8,1006.5
คลองเตย,2023-07-02,9.8,0.7,123.8,29.9,76.7,1007.6
คลองเตย,2023-07-03,13.0,0.5,130.0,29.5,77.8,1008.7
คลองเตย,2023-07-04,18.5,0.4,178.6,30.0,71.1,1008.9
คลองเตย,2023-07-05,22.8,0.5,164.4,29.7,72.8,1008.6
คลองเตย,2023-07-06,17.2,0.5,234.3,31.0,66.1,1009.0
คลองเตย,2023-07-07,17.1,0.7,230.4,32.2,62.8,1008.4
คลองเตย,2023-07-08,13.2,0.6,96.3,31.0,74.9,1008.4
คลองเตย,2023-07-09,14.6,0.6,149.1,27.8,87.4,1008.0
คลองเตย,2023-07-10,14.5,0.7,111.7,28.7,81.7,1008.5
คลองเตย,2023-07-11,13.5,0.6,151.8,29.3,79.6,1008.8
คลองเตย,2023-07-12,19.8,0.4,224.4,31.1,69.0,1008.8
คลองเตย,2023-07-13,15.9,0.6,292.7,31.4,67.3,1008.5
คลองเตย,2023-07-14,14.3,0.7,309.4,31.8,61.3,1008.4
คลองเตย,2023-07-15,18.7,0.7,276.9,31.6,59.2,1006.9
คลองเตย,2023-07-16,16.6,0.8,310.2,31.3,61.2,1005.3
คลองเตย,2023-07-17,10.1,0.8,303.6,30.7,61.8,1003.9
คลองเตย,2023-07-18,12.3,0.7,305.6,30.6,60.6,1004.4
